DEC	Sprite	Name	Gen1_7	Gen8_9
0349	Feebas	Feebas	70	50
0350	Milotic	Milotic	70	50
0351	Castform	Castform	70	50
0352	Kecleon	Kecleon	70	50
0353	Shuppet	Shuppet	35	35
0354	Banette	Banette	35	35
0355	Duskull	Duskull	35	35
0356	Dusclops	Dusclops	35	35
0357	Tropius	Tropius	70	50
0358	Chimecho	Chimecho	70	50
0359	Absol	Absol	35	35
0360	Wynaut	Wynaut	70	50
0361	Snorunt	Snorunt	70	50
0362	Glalie	Glalie	70	50
0363	Spheal	Spheal	70	50
0364	Sealeo	Sealeo	70	50
0365	Walrein	Walrein	70	50
0366	Clamperl	Clamperl	70	50
0367	Huntail	Huntail	70	50
0368	Gorebyss	Gorebyss	70	50
0369	Relicanth	Relicanth	70	50
0370	Luvdisc	Luvdisc	70	50
0371	Bagon	Bagon	35	35
0372	Shelgon	Shelgon	35	35
0373	Salamence	Salamence	35	35
0374	Beldum	Beldum	35	35
0375	Metang	Metang	35	35
0376	Metagross	Metagross	35	35
0377	Regirock	Regirock	35	35
0378	Regice	Regice	35	35
0379	Registeel	Registeel	35	35
0380	Latias	Latias	90	90
0381	Latios	Latios	90	90
0382	Kyogre	Kyogre	0	0
0383	Groudon	Groudon	0	0
0384	Rayquaza	Rayquaza	0	0
0385	Jirachi	Jirachi	100	100
0386	Deoxys	Deoxys	0	0
0387	Turtwig	Turtwig	70	50
0388	Grotle	Grotle	70	50
0389	Torterra	Torterra	70	50
0390	Chimchar	Chimchar	70	50
0391	Monferno	Monferno	70	50
0392	Infernape	Infernape	70	50
0393	Piplup	Piplup	70	50
0394	Prinplup	Prinplup	70	50
0395	Empoleon	Empoleon	70	50
0396	Starly	Starly	70	50
0397	Staravia	Staravia	70	50
0398	Staraptor	Staraptor	70	50
0399	Bidoof	Bidoof	70	50
0400	Bibarel	Bibarel	70	50
0401	Kricketot	Kricketot	70	50
0402	Kricketune	Kricketune	70	50
0403	Shinx	Shinx	70	50
0404	Luxio	Luxio	100	100
0405	Luxray	Luxray	70	50
0406	Budew	Budew	70	50
0407	Roserade	Roserade	70	50
0408	Cranidos	Cranidos	70	50
0409	Rampardos	Rampardos	70	50
0410	Shieldon	Shieldon	70	50
0411	Bastiodon	Bastiodon	70	50
0412	Burmy	Burmy	70	50
0413	Wormadam	Wormadam	70	50
0414	Mothim	Mothim	70	50
0415	Combee	Combee	70	50
0416	Vespiquen	Vespiquen	70	50
0417	Pachirisu	Pachirisu	100	100
0418	Buizel	Buizel	70	50
0419	Floatzel	Floatzel	70	50
0420	Cherubi	Cherubi	70	50
0421	Cherrim	Cherrim	70	50
0422	Shellos	Shellos	70	50
0423	Gastrodon	Gastrodon	70	50
0424	Ambipom	Ambipom	100	100
0425	Drifloon	Drifloon	70	50
0426	Drifblim	Drifblim	70	50
0427	Buneary	Buneary	0	0
0428	Lopunny	Lopunny	140	140
0429	Mismagius	Mismagius	35	35
0430	Honchkrow	Honchkrow	35	35
0431	Glameow	Glameow	70	50
0432	Purugly	Purugly	70	50
0433	Chingling	Chingling	70	50
0434	Stunky	Stunky	70	50
0435	Skuntank	Skuntank	70	50
0436	Bronzor	Bronzor	70	50
0437	Bronzong	Bronzong	70	50
0438	Bonsly	Bonsly	70	50
0439	Mime Jr.	Mime Jr.	70	50
0440	Happiny	Happiny	140	140
0441	Chatot	Chatot	35	35
0442	Spiritomb	Spiritomb	70	50
0443	Gible	Gible	70	50
0444	Gabite	Gabite	70	50
0445	Garchomp	Garchomp	70	50
0446	Munchlax	Munchlax	70	50
0447	Riolu	Riolu	70	50
0448	Lucario	Lucario	70	50
0449	Hippopotas	Hippopotas	70	50
0450	Hippowdon	Hippowdon	70	50
0451	Skorupi	Skorupi	70	50
0452	Drapion	Drapion	70	50
0453	Croagunk	Croagunk	100	100
0454	Toxicroak	Toxicroak	70	50
0455	Carnivine	Carnivine	70	50
0456	Finneon	Finneon	70	50
0457	Lumineon	Lumineon	70	50
0458	Mantyke	Mantyke	70	50
0459	Snover	Snover	70	50
0460	Abomasnow	Abomasnow	70	50
0461	Weavile	Weavile	35	35
0462	Magnezone	Magnezone	70	50
0463	Lickilicky	Lickilicky	70	50
0464	Rhyperior	Rhyperior	70	50
0465	Tangrowth	Tangrowth	70	50
0466	Electivire	Electivire	70	50
0467	Magmortar	Magmortar	70	50
0468	Togekiss	Togekiss	70	50
0469	Yanmega	Yanmega	70	50
0470	Leafeon	Leafeon	35	35
0471	Glaceon	Glaceon	35	35
0472	Gliscor	Gliscor	70	50
0473	Mamoswine	Mamoswine	70	50
0474	Porygon-Z	Porygon-Z	70	50
0475	Gallade	Gallade	35	35
0476	Probopass	Probopass	70	50
0477	Dusknoir	Dusknoir	35	35
0478	Froslass	Froslass	70	50
0479	Rotom	Rotom	70	50
0480	Uxie	Uxie	140	140
0481	Mesprit	Mesprit	140	140
0482	Azelf	Azelf	140	140
0483	Dialga	Dialga	0	0
0484	Palkia	Palkia	0	0
0485	Heatran	Heatran	100	100
0486	Regigigas	Regigigas	0	0
0487	Giratina	Giratina	0	0
0488	Cresselia	Cresselia	100	100
0489	Phione	Phione	70	50
0490	Manaphy	Manaphy	70	50
0491	Darkrai	Darkrai	0	0
0492	Shaymin	Shaymin	100	100
0493	Arceus	Arceus	0	0
0494	Victini	Victini	100	100
0495	Snivy	Snivy	70	50
0496	Servine	Servine	70	50
0497	Serperior	Serperior	70	50
0498	Tepig	Tepig	70	50
0499	Pignite	Pignite	70	50
0500	Emboar	Emboar	70	50
0501	Oshawott	Oshawott	70	50
0502	Dewott	Dewott	70	50
0503	Samurott	Samurott	70	50
0504	Patrat	Patrat	70	50
0505	Watchog	Watchog	70	50
0506	Lillipup	Lillipup	70	50
0507	Herdier	Herdier	70	50
0508	Stoutland	Stoutland	70	50
0509	Purrloin	Purrloin	70	50
0510	Liepard	Liepard	70	50
0511	Pansage	Pansage	70	50
0512	Simisage	Simisage	70	50
0513	Pansear	Pansear	70	50
0514	Simisear	Simisear	70	50
0515	Panpour	Panpour	70	50
0516	Simipour	Simipour	70	50
0517	Munna	Munna	70	50
0518	Musharna	Musharna	70	50
0519	Pidove	Pidove	70	50
0520	Tranquill	Tranquill	70	50
0521	Unfezant	Unfezant	70	50
0522	Blitzle	Blitzle	70	50
0523	Zebstrika	Zebstrika	70	50
0524	Roggenrola	Roggenrola	70	50
0525	Boldore	Boldore	70	50
0526	Gigalith	Gigalith	70	50
0527	Woobat	Woobat	70	50
0528	Swoobat	Swoobat	70	50
0529	Drilbur	Drilbur	70	50
0530	Excadrill	Excadrill	70	50
0531	Audino	Audino	70	50
0532	Timburr	Timburr	70	70
0533	Gurdurr	Gurdurr	70	50
0534	Conkeldurr	Conkeldurr	70	50
0535	Tympole	Tympole	70	50
0536	Palpitoad	Palpitoad	70	50
0537	Seismitoad	Seismitoad	70	50
0538	Throh	Throh	70	50
0539	Sawk	Sawk	70	50
0540	Sewaddle	Sewaddle	70	50
0541	Swadloon	Swadloon	70	50
0542	Leavanny	Leavanny	70	50
0543	Venipede	Venipede	70	50
0544	Whirlipede	Whirlipede	70	50
0545	Scolipede	Scolipede	70	50
0546	Cottonee	Cottonee	70	50
0547	Whimsicott	Whimsicott	70	50
0548	Petilil	Petilil	70	50
0549	Lilligant	Lilligant	70	50
0550	Basculin	Basculin	70	50
0551	Sandile	Sandile	70	50
0552	Krokorok	Krokorok	70	50
0553	Krookodile	Krookodile	70	50
0554	Darumaka	Darumaka	70	50
0555	Darmanitan	Darmanitan	70	50
0556	Maractus	Maractus	70	50
0557	Dwebble	Dwebble	70	50
0558	Crustle	Crustle	70	50
0559	Scraggy	Scraggy	35	35
0560	Scrafty	Scrafty	70	50
0561	Sigilyph	Sigilyph	70	50
0562	Yamask	Yamask	70	50
0563	Cofagrigus	Cofagrigus	70	50
0564	Tirtouga	Tirtouga	70	50
0565	Carracosta	Carracosta	70	50
0566	Archen	Archen	70	50
0567	Archeops	Archeops	70	50
0568	Trubbish	Trubbish	70	50
0569	Garbodor	Garbodor	70	50
0570	Zorua	Zorua	70	50
0571	Zoroark	Zoroark	70	50
0572	Minccino	Minccino	70	50
0573	Cinccino	Cinccino	70	50
0574	Gothita	Gothita	70	50
0575	Gothorita	Gothorita	70	50
0576	Gothitelle	Gothitelle	70	50
0577	Solosis	Solosis	70	50
0578	Duosion	Duosion	70	50
0579	Reuniclus	Reuniclus	70	50
0580	Ducklett	Ducklett	70	50
0581	Swanna	Swanna	70	50
0582	Vanillite	Vanillite	70	50
0583	Vanillish	Vanillish	70	50
0584	Vanilluxe	Vanilluxe	70	50
0585	Deerling	Deerling	70	50
0586	Sawsbuck	Sawsbuck	70	50
0587	Emolga	Emolga	70	50
0588	Karrablast	Karrablast	70	50
0589	Escavalier	Escavalier	70	50
0590	Foongus	Foongus	70	50
0591	Amoonguss	Amoonguss	70	50
0592	Frillish	Frillish	70	50
0593	Jellicent	Jellicent	70	50
0594	Alomomola	Alomomola	70	50
0595	Joltik	Joltik	70	50
0596	Galvantula	Galvantula	70	50
0597	Ferroseed	Ferroseed	70	50
0598	Ferrothorn	Ferrothorn	70	50
0599	Klink	Klink	70	50
0600	Klang	Klang	70	50
0601	Klinklang	Klinklang	70	50
0602	Tynamo	Tynamo	70	50
0603	Eelektrik	Eelektrik	70	50
0604	Eelektross	Eelektross	70	50
0605	Elgyem	Elgyem	70	50
0606	Beheeyem	Beheeyem	70	50
0607	Litwick	Litwick	70	50
0608	Lampent	Lampent	70	50
0609	Chandelure	Chandelure	70	50
0610	Axew	Axew	35	35
0611	Fraxure	Fraxure	35	35
0612	Haxorus	Haxorus	35	35
0613	Cubchoo	Cubchoo	70	50
0614	Beartic	Beartic	70	50
0615	Cryogonal	Cryogonal	70	50
0616	Shelmet	Shelmet	70	50
0617	Accelgor	Accelgor	70	50
0618	Stunfisk	Stunfisk	70	70
0618	Stunfisk	Stunfisk (Galarian Form)	—	50
0619	Mienfoo	Mienfoo	70	50
0620	Mienshao	Mienshao	70	50
0621	Druddigon	Druddigon	70	50
0622	Golett	Golett	70	50
0623	Golurk	Golurk	70	50
0624	Pawniard	Pawniard	35	35
0625	Bisharp	Bisharp	35	35
0626	Bouffalant	Bouffalant	70	50
0627	Rufflet	Rufflet	70	50
0628	Braviary	Braviary	70	50
0629	Vullaby	Vullaby	35	35
0630	Mandibuzz	Mandibuzz	35	35
0631	Heatmor	Heatmor	70	50
0632	Durant	Durant	70	50
0633	Deino	Deino	35	35
0634	Zweilous	Zweilous	35	35
0635	Hydreigon	Hydreigon	35	35
0636	Larvesta	Larvesta	70	50
0637	Volcarona	Volcarona	70	50
0638	Cobalion	Cobalion	35	35
0639	Terrakion	Terrakion	35	35
0640	Virizion	Virizion	35	35
0641	Tornadus	Tornadus	90	90
0642	Thundurus	Thundurus	90	90
0643	Reshiram	Reshiram	0	0
0644	Zekrom	Zekrom	0	0
0645	Landorus	Landorus	90	90
0646	Kyurem	Kyurem	0	0
0647	Keldeo	Keldeo	35	35
0648	Meloetta	Meloetta	100	100
0649	Genesect	Genesect	0	0
0650	Chespin	Chespin	70	50
0651	Quilladin	Quilladin	70	50
0652	Chesnaught	Chesnaught	70	50
0653	Fennekin	Fennekin	70	50
0654	Braixen	Braixen	70	50
0655	Delphox	Delphox	70	50
0656	Froakie	Froakie	70	50
0657	Frogadier	Frogadier	70	50
0658	Greninja	Greninja	70	50
0659	Bunnelby	Bunnelby	70	50
0660	Diggersby	Diggersby	70	50
0661	Fletchling	Fletchling	70	50
0662	Fletchinder	Fletchinder	70	50
0663	Talonflame	Talonflame	70	50
0664	Scatterbug	Scatterbug	70	50
0665	Spewpa	Spewpa	70	50
0666	Vivillon	Vivillon	70	50
0667	Litleo	Litleo	70	50
0668	Pyroar	Pyroar	70	50
0669	Flabébé	Flabébé	70	50
0670	Floette	Floette	70	50
0671	Florges	Florges	70	50
0672	Skiddo	Skiddo	70	50
0673	Gogoat	Gogoat	70	50
0674	Pancham	Pancham	70	50
0675	Pangoro	Pangoro	70	50
0676	Furfrou	Furfrou	70	50
0677	Espurr	Espurr	70	50
0678	Meowstic	Meowstic	70	50
0679	Honedge	Honedge	70	50
0680	Doublade	Doublade	70	50
0681	Aegislash	Aegislash	70	50
0682	Spritzee	Spritzee	70	50
0683	Aromatisse	Aromatisse	70	50
0684	Swirlix	Swirlix	70	50
0685	Slurpuff	Slurpuff	70	50
0686	Inkay	Inkay	70	50
0687	Malamar	Malamar	70	50
0688	Binacle	Binacle	70	50
0689	Barbaracle	Barbaracle	70	50
0690	Skrelp	Skrelp	70	50
0691	Dragalge	Dragalge	70	50
0692	Clauncher	Clauncher	70	50
0693	Clawitzer	Clawitzer	70	50
0694	Helioptile	Helioptile	70	50
0695	Heliolisk	Heliolisk	70	50
0696	Tyrunt	Tyrunt	70	50
0697	Tyrantrum	Tyrantrum	70	50
0698	Amaura	Amaura	70	50
0699	Aurorus	Aurorus	70	50
0700	Sylveon	Sylveon	70	50
0701	Hawlucha	Hawlucha	70	50
0702	Dedenne	Dedenne	70	50
0703	Carbink	Carbink	70	50
0704	Goomy	Goomy	35	35
0705	Sliggoo	Sliggoo	35	35
0706	Goodra	Goodra	35	35
0707	Klefki	Klefki	70	50
0708	Phantump	Phantump	70	50
0709	Trevenant	Trevenant	70	50
0710	Pumpkaboo	Pumpkaboo	70	50
0711	Gourgeist	Gourgeist	70	50
0712	Bergmite	Bergmite	70	50
0713	Avalugg	Avalugg	70	50
0714	Noibat	Noibat	70	50
0715	Noivern	Noivern	70	50
0716	Xerneas	Xerneas	0	0
0717	Yveltal	Yveltal	0	0
0718	Zygarde	Zygarde	0	0
0719	Diancie	Diancie	70	50
0720	Hoopa	Hoopa	100	100
0720	Hoopa	Hoopa Unbound	100	50
0721	Volcanion	Volcanion	100	100
0722	Rowlet	Rowlet	70	50
0723	Dartrix	Dartrix	70	50
0724	Decidueye	Decidueye	70	50
0725	Litten	Litten	70	50
0726	Torracat	Torracat	70	50
0727	Incineroar	Incineroar	70	50
0728	Popplio	Popplio	70	50
0729	Brionne	Brionne	70	50
0730	Primarina	Primarina	70	50
0731	Pikipek	Pikipek	70	50
0732	Trumbeak	Trumbeak	70	50
0733	Toucannon	Toucannon	70	50
0734	Yungoos	Yungoos	70	50
0735	Gumshoos	Gumshoos	70	50
0736	Grubbin	Grubbin	70	50
0737	Charjabug	Charjabug	70	50
0738	Vikavolt	Vikavolt	70	50
0739	Crabrawler	Crabrawler	70	50
0740	Crabominable	Crabominable	70	50
0741	Oricorio	Oricorio	70	50
0742	Cutiefly	Cutiefly	70	50
0743	Ribombee	Ribombee	70	50
0744	Rockruff	Rockruff	70	50
0745	Lycanroc	Lycanroc	70	50
0746	Wishiwashi	Wishiwashi	70	50
0747	Mareanie	Mareanie	70	50
0748	Toxapex	Toxapex	70	50
0749	Mudbray	Mudbray	70	50
0750	Mudsdale	Mudsdale	70	50
0751	Dewpider	Dewpider	70	50
0752	Araquanid	Araquanid	70	50
0753	Fomantis	Fomantis	70	50
