Dex	Sprite	Name	HP	Att	Def	Spec_Att	Spec_Def	Speed	Total	Avg
0145	Zapdos	Zapdos	90	90	85	125	90	100	580	96.67
0146	Moltres	Moltres	90	100	90	125	85	90	580	96.67
0147	Dratini	Dratini	41	64	45	50	50	50	300	50
0148	Dragonair	Dragonair	61	84	65	70	70	70	420	70
0149	Dragonite	Dragonite	91	134	95	100	100	80	600	100
0150	Mewtwo	Mewtwo	106	110	90	154	90	130	680	113.33
0151	Mew	Mew	100	100	100	100	100	100	600	100
0152	Chikorita	Chikorita	45	49	65	49	65	45	318	53
0153	Bayleef	Bayleef	60	62	80	63	80	60	405	67.5
0154	Meganium	Meganium	80	82	100	83	100	80	525	87.5
0155	Cyndaquil	Cyndaquil	39	52	43	60	50	65	309	51.5
0156	Quilava	Quilava	58	64	58	80	65	80	405	67.5
0157	Typhlosion	Typhlosion	78	84	78	109	85	100	534	89
0158	Totodile	Totodile	50	65	64	44	48	43	314	52.33
0159	Croconaw	Croconaw	65	80	80	59	63	58	405	67.5
0160	Feraligatr	Feraligatr	85	105	100	79	83	78	530	88.33
0161	Sentret	Sentret	35	46	34	35	45	20	215	35.83
0162	Furret	Furret	85	76	64	45	55	90	415	69.17
0163	Hoothoot	Hoothoot	60	30	30	36	56	50	262	43.67
0164	Noctowl	Noctowl	100	50	50	76	96	70	442	73.67
0165	Ledyba	Ledyba	40	20	30	40	80	55	265	44.17
0166	Ledian	Ledian	55	35	50	55	110	85	390	65
0167	Spinarak	Spinarak	40	60	40	40	40	30	250	41.67
0168	Ariados	Ariados	70	90	70	60	60	40	390	65
0169	Crobat	Crobat	85	90	80	70	80	130	535	89.17
0170	Chinchou	Chinchou	75	38	38	56	56	67	330	55
0171	Lanturn	Lanturn	125	58	58	76	76	67	460	76.67
0172	Pichu	Pichu	20	40	15	35	35	60	205	34.17
0173	Cleffa	Cleffa	50	25	28	45	55	15	218	36.33
0174	Igglybuff	Igglybuff	90	30	15	40	20	15	210	35
0175	Togepi	Togepi	35	20	65	40	65	20	245	40.83
0176	Togetic	Togetic	55	40	85	80	105	40	405	67.5
0177	Natu	Natu	40	50	45	70	45	70	320	53.33
0178	Xatu	Xatu	65	75	70	95	70	95	470	78.33
0179	Mareep	Mareep	55	40	40	65	45	35	280	46.67
0180	Flaaffy	Flaaffy	70	55	55	80	60	45	365	60.83
0181	Ampharos	Ampharos	90	75	75	115	90	55	500	83.33
0182	Bellossom	Bellossom	75	80	85	90	100	50	480	80
0183	Marill	Marill	70	20	50	20	50	40	250	41.67
0184	Azumarill	Azumarill	100	50	80	50	80	50	410	68.33
0185	Sudowoodo	Sudowoodo	70	100	115	30	65	30	410	68.33
0186	Politoed	Politoed	90	75	75	90	100	70	500	83.33
0187	Hoppip	Hoppip	35	35	40	35	55	50	250	41.67
0188	Skiploom	Skiploom	55	45	50	45	65	80	340	56.67
0189	Jumpluff	Jumpluff	75	55	70	55	85	110	450	75
0190	Aipom	Aipom	55	70	55	40	55	85	360	60
0191	Sunkern	Sunkern	30	30	30	30	30	30	180	30
0192	Sunflora	Sunflora	75	75	55	105	85	30	425	70.83
0193	Yanma	Yanma	65	65	45	75	45	95	390	65
0194	Wooper	Wooper	55	45	45	25	25	15	210	35
0195	Quagsire	Quagsire	95	85	85	65	65	35	430	71.67
0196	Espeon	Espeon	65	65	60	130	95	110	525	87.5
0197	Umbreon	Umbreon	95	65	110	60	130	65	525	87.5
0198	Murkrow	Murkrow	60	85	42	85	42	91	405	67.5
0199	Slowking	Slowking	95	75	80	100	110	30	490	81.67
0200	Misdreavus	Misdreavus	60	60	60	85	85	85	435	72.5
0201	Unown	Unown	48	72	48	72	48	48	336	56
0202	Wobbuffet	Wobbuffet	190	33	58	33	58	33	405	67.5
0203	Girafarig	Girafarig	70	80	65	90	65	85	455	75.83
0204	Pineco	Pineco	50	65	90	35	35	15	290	48.33
0205	Forretress	Forretress	75	90	140	60	60	40	465	77.5
0206	Dunsparce	Dunsparce	100	70	70	65	65	45	415	69.17
0207	Gligar	Gligar	65	75	105	35	65	85	430	71.67
0208	Steelix	Steelix	75	85	200	55	65	30	510	85
0209	Snubbull	Snubbull	60	80	50	40	40	30	300	50
0210	Granbull	Granbull	90	120	75	60	60	45	450	75
0211	Qwilfish	Qwilfish	65	95	75	55	55	85	430	71.67
0212	Scizor	Scizor	70	130	100	55	80	65	500	83.33
0213	Shuckle	Shuckle	20	10	230	10	230	5	505	84.17
0214	Heracross	Heracross	80	125	75	40	95	85	500	83.33
0215	Sneasel	Sneasel	55	95	55	35	75	115	430	71.67
0216	Teddiursa	Teddiursa	60	80	50	50	50	40	330	55
0217	Ursaring	Ursaring	90	130	75	75	75	55	500	83.33
0218	Slugma	Slugma	40	40	40	70	40	20	250	41.67
0219	Magcargo	Magcargo	50	50	120	80	80	30	410	68.33
0220	Swinub	Swinub	50	50	40	30	30	50	250	41.67
0221	Piloswine	Piloswine	100	100	80	60	60	50	450	75
0222	Corsola	Corsola	55	55	85	65	85	35	380	63.33
0223	Remoraid	Remoraid	35	65	35	65	35	65	300	50
0224	Octillery	Octillery	75	105	75	105	75	45	480	80
0225	Delibird	Delibird	45	55	45	65	45	75	330	55
0226	Mantine	Mantine	65	40	70	80	140	70	465	77.5
0227	Skarmory	Skarmory	65	80	140	40	70	70	465	77.5
0228	Houndour	Houndour	45	60	30	80	50	65	330	55
0229	Houndoom	Houndoom	75	90	50	110	80	95	500	83.33
0230	Kingdra	Kingdra	75	95	95	95	95	85	540	90
0231	Phanpy	Phanpy	90	60	60	40	40	40	330	55
0232	Donphan	Donphan	90	120	120	60	60	50	500	83.33
0233	Porygon2	Porygon2	85	80	90	105	95	60	515	85.83
0234	Stantler	Stantler	73	95	62	85	65	85	465	77.5
0235	Smeargle	Smeargle	55	20	35	20	45	75	250	41.67
0236	Tyrogue	Tyrogue	35	35	35	35	35	35	210	35
0237	Hitmontop	Hitmontop	50	95	95	35	110	70	455	75.83
0238	Smoochum	Smoochum	45	30	15	85	65	65	305	50.83
0239	Elekid	Elekid	45	63	37	65	55	95	360	60
0240	Magby	Magby	45	75	37	70	55	83	365	60.83
0241	Miltank	Miltank	95	80	105	40	70	100	490	81.67
0242	Blissey	Blissey	255	10	10	75	135	55	540	90
0243	Raikou	Raikou	90	85	75	115	100	115	580	96.67
0244	Entei	Entei	115	115	85	90	75	100	580	96.67
0245	Suicune	Suicune	100	75	115	90	115	85	580	96.67
0246	Larvitar	Larvitar	50	64	50	45	50	41	300	50
0247	Pupitar	Pupitar	70	84	70	65	70	51	410	68.33
0248	Tyranitar	Tyranitar	100	134	110	95	100	61	600	100
0249	Lugia	Lugia	106	90	130	90	154	110	680	113.33
0250	Ho-Oh	Ho-Oh	106	130	90	110	154	90	680	113.33
0251	Celebi	Celebi	100	100	100	100	100	100	600	100
