DEC	HEX	ITEM	Image	Bag Pocket
105	0x69	Stick	Bag Items pocket icon.png	Items pocket
106	0x6A	Smoke Ball	Bag Items pocket icon.png	Items pocket
107	0x6B	NeverMeltIce	Bag Items pocket icon.png	Items pocket
108	0x6C	Magnet	Bag Items pocket icon.png	Items pocket
109	0x6D	MiracleBerry	Bag Items pocket icon.png	Items pocket
110	0x6E	Pearl	Bag Items pocket icon.png	Items pocket
111	0x6F	Big Pearl	Bag Items pocket icon.png	Items pocket
112	0x70	Everstone	Bag Items pocket icon.png	Items pocket
113	0x71	Spell Tag	Bag Items pocket icon.png	Items pocket
114	0x72	RageCandyBar	Bag Items pocket icon.png	Items pocket
115	0x73	GS Ball*	Bag Key items pocket icon.png	Key items pocket
116	0x74	Blue Card*	Bag Key items pocket icon.png	Key items pocket
117	0x75	Miracle Seed	Bag Items pocket icon.png	Items pocket
118	0x76	Thick Club	Bag Items pocket icon.png	Items pocket
119	0x77	Focus Band	Bag Items pocket icon.png	Items pocket
120	0x78	Teru-sama	Bag Items pocket icon.png	Items pocket
121	0x79	EnergyPowder	Bag Items pocket icon.png	Items pocket
122	0x7A	Energy Root	Bag Items pocket icon.png	Items pocket
123	0x7B	Heal Powder	Bag Items pocket icon.png	Items pocket
124	0x7C	Revival Herb	Bag Items pocket icon.png	Items pocket
125	0x7D	Hard Stone	Bag Items pocket icon.png	Items pocket
126	0x7E	Lucky Egg	Bag Items pocket icon.png	Items pocket
127	0x7F	Card Key	Bag Key items pocket icon.png	Key items pocket
128	0x80	Machine Part	Bag Key items pocket icon.png	Key items pocket
129	0x81	Egg Ticket*	Bag Key items pocket icon.png	Key items pocket
130	0x82	Lost Item	Bag Key items pocket icon.png	Key items pocket
131	0x83	Stardust	Bag Items pocket icon.png	Items pocket
132	0x84	Star Piece	Bag Items pocket icon.png	Items pocket
133	0x85	Basement Key	Bag Key items pocket icon.png	Key items pocket
134	0x86	Pass	Bag Key items pocket icon.png	Key items pocket
135	0x87	Teru-sama	Bag Items pocket icon.png	Items pocket
136	0x88	Teru-sama	Bag Items pocket icon.png	Items pocket
137	0x89	Teru-sama	Bag Items pocket icon.png	Items pocket
138	0x8A	Charcoal	Bag Items pocket icon.png	Items pocket
139	0x8B	Berry Juice	Bag Items pocket icon.png	Items pocket
140	0x8C	Scope Lens	Bag Items pocket icon.png	Items pocket
141	0x8D	Teru-sama	Bag Items pocket icon.png	Items pocket
142	0x8E	Teru-sama	Bag Items pocket icon.png	Items pocket
143	0x8F	Metal Coat	Bag Items pocket icon.png	Items pocket
144	0x90	Dragon Fang	Bag Items pocket icon.png	Items pocket
145	0x91	Teru-sama	Bag Items pocket icon.png	Items pocket
146	0x92	Leftovers	Bag Items pocket icon.png	Items pocket
147	0x93	Teru-sama	Bag Items pocket icon.png	Items pocket
148	0x94	Teru-sama	Bag Items pocket icon.png	Items pocket
149	0x95	Teru-sama	Bag Items pocket icon.png	Items pocket
150	0x96	MysteryBerry	Bag Items pocket icon.png	Items pocket
151	0x97	Dragon Scale	Bag Items pocket icon.png	Items pocket
152	0x98	Berserk Gene	Bag Items pocket icon.png	Items pocket
153	0x99	Teru-sama	Bag Items pocket icon.png	Items pocket
154	0x9A	Teru-sama	Bag Items pocket icon.png	Items pocket
155	0x9B	Teru-sama	Bag Items pocket icon.png	Items pocket
156	0x9C	Sacred Ash	Bag Items pocket icon.png	Items pocket
157	0x9D	Heavy Ball	Bag Poké Balls pocket icon.png	Poké Balls pocket
158	0x9E	Flower Mail	Bag Items pocket icon.png	Items pocket
159	0x9F	Level Ball	Bag Poké Balls pocket icon.png	Poké Balls pocket
160	0xA0	Lure Ball	Bag Poké Balls pocket icon.png	Poké Balls pocket
161	0xA1	Fast Ball	Bag Poké Balls pocket icon.png	Poké Balls pocket
162	0xA2	Teru-sama	Bag Items pocket icon.png	Items pocket
163	0xA3	Light Ball	Bag Items pocket icon.png	Items pocket
164	0xA4	Friend Ball	Bag Poké Balls pocket icon.png	Poké Balls pocket
165	0xA5	Moon Ball	Bag Poké Balls pocket icon.png	Poké Balls pocket
166	0xA6	Love Ball	Bag Poké Balls pocket icon.png	Poké Balls pocket
167	0xA7	Normal Box	Bag Items pocket icon.png	Items pocket
168	0xA8	Gorgeous Box	Bag Items pocket icon.png	Items pocket
169	0xA9	Sun Stone	Bag Items pocket icon.png	Items pocket
170	0xAA	Polkadot Bow	Bag Items pocket icon.png	Items pocket
171	0xAB	Teru-sama	Bag Items pocket icon.png	Items pocket
172	0xAC	Up-Grade	Bag Items pocket icon.png	Items pocket
173	0xAD	Berry	Bag Items pocket icon.png	Items pocket
174	0xAE	Gold Berry	Bag Items pocket icon.png	Items pocket
175	0xAF	SquirtBottle	Bag Key items pocket icon.png	Key items pocket
176	0xB0	Teru-sama	Bag Items pocket icon.png	Items pocket
177	0xB1	Park Ball	Bag Poké Balls pocket icon.png	Poké Balls pocket
178	0xB2	Rainbow Wing	Bag Key items pocket icon.png	Key items pocket
179	0xB3	Teru-sama	Bag Items pocket icon.png	Items pocket
180	0xB4	Brick Piece	Bag Items pocket icon.png	Items pocket
181	0xB5	Surf Mail	Bag Items pocket icon.png	Items pocket
182	0xB6	Litebluemail	Bag Items pocket icon.png	Items pocket
183	0xB7	Portraitmail	Bag Items pocket icon.png	Items pocket
184	0xB8	Lovely Mail	Bag Items pocket icon.png	Items pocket
185	0xB9	Eon Mail	Bag Items pocket icon.png	Items pocket
186	0xBA	Morph Mail	Bag Items pocket icon.png	Items pocket
187	0xBB	Bluesky Mail	Bag Items pocket icon.png	Items pocket
188	0xBC	Music Mail	Bag Items pocket icon.png	Items pocket
189	0xBD	Mirage Mail	Bag Items pocket icon.png	Items pocket
190	0xBE	Teru-sama	Bag Items pocket icon.png	Items pocket
191	0xBF	TM01	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
192	0xC0	TM02	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
193	0xC1	TM03	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
194	0xC2	TM04	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
195	0xC3	TM04	Bag Items pocket icon.png	Items pocket
196	0xC4	TM05	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
197	0xC5	TM06	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
198	0xC6	TM07	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
199	0xC7	TM08	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
200	0xC8	TM09	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
201	0xC9	TM10	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
202	0xCA	TM11	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
203	0xCB	TM12	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
204	0xCC	TM13	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
205	0xCD	TM14	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
206	0xCE	TM15	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
207	0xCF	TM16	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
208	0xD0	TM17	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
209	0xD1	TM18	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
210	0xD2	TM19	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
211	0xD3	TM20	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
212	0xD4	TM21	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
213	0xD5	TM22	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
214	0xD6	TM23	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
215	0xD7	TM24	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
216	0xD8	TM25	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
217	0xD9	TM26	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
218	0xDA	TM27	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
219	0xDB	TM28	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
220	0xDC	TM28	Bag Items pocket icon.png	Items pocket
221	0xDD	TM29	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
222	0xDE	TM30	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
223	0xDF	TM31	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
224	0xE0	TM32	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
225	0xE1	TM33	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
226	0xE2	TM34	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
227	0xE3	TM35	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
228	0xE4	TM36	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
229	0xE5	TM37	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
230	0xE6	TM38	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
231	0xE7	TM39	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
232	0xE8	TM40	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
233	0xE9	TM41	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
234	0xEA	TM42	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
235	0xEB	TM43	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
236	0xEC	TM44	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
237	0xED	TM45	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
238	0xEE	TM46	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
239	0xEF	TM47	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
240	0xF0	TM48	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
241	0xF1	TM49	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
242	0xF2	TM50	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
243	0xF3	HM01	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
244	0xF4	HM02	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
245	0xF5	HM03	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
246	0xF6	HM04	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
247	0xF7	HM05	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
248	0xF8	HM06	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
249	0xF9	HM07	Bag TMs and HMs pocket icon.png	TMs and HMs pocket
250	0xFA	HM08	Bag Items pocket icon.png	Items pocket
251	0xFB	HM09	Bag Items pocket icon.png	Items pocket
252	0xFC	HM10	Bag Items pocket icon.png	Items pocket
253	0xFD	HM11	Bag Items pocket icon.png	Items pocket
254	0xFE	HM12	Bag Items pocket icon.png	Items pocket
255	0xFF	Cancel	Bag Unknown pocket icon.png	Unknown pocket
