DEC	Sprite	Name	EXP Cat
0208	Steelix	Steelix	Medium Fast
0209	Snubbull	Snubbull	Fast
0210	Granbull	Granbull	Fast
0211	Qwilfish	Qwilfish	Medium Fast
0212	Scizor	Scizor	Medium Fast
0213	Shuckle	Shuckle	Medium Slow
0214	Heracross	Heracross	Slow
0215	Sneasel	Sneasel	Medium Slow
0216	Teddiursa	Teddiursa	Medium Fast
0217	Ursaring	Ursaring	Medium Fast
0218	Slugma	Slugma	Medium Fast
0219	Magcargo	Magcargo	Medium Fast
0220	Swinub	Swinub	Slow
0221	Piloswine	Piloswine	Slow
0222	Corsola	Corsola	Fast
0223	Remoraid	Remoraid	Medium Fast
0224	Octillery	Octillery	Medium Fast
0225	Delibird	Delibird	Fast
0226	Mantine	Mantine	Slow
0227	Skarmory	Skarmory	Slow
0228	Houndour	Houndour	Slow
0229	Houndoom	Houndoom	Slow
0230	Kingdra	Kingdra	Medium Fast
0231	Phanpy	Phanpy	Medium Fast
0232	Donphan	Donphan	Medium Fast
0233	Porygon2	Porygon2	Medium Fast
0234	Stantler	Stantler	Slow
0235	Smeargle	Smeargle	Fast
0236	Tyrogue	Tyrogue	Medium Fast
0237	Hitmontop	Hitmontop	Medium Fast
0238	Smoochum	Smoochum	Medium Fast
0239	Elekid	Elekid	Medium Fast
0240	Magby	Magby	Medium Fast
0241	Miltank	Miltank	Slow
0242	Blissey	Blissey	Fast
0243	Raikou	Raikou	Slow
0244	Entei	Entei	Slow
0245	Suicune	Suicune	Slow
0246	Larvitar	Larvitar	Slow
0247	Pupitar	Pupitar	Slow
0248	Tyranitar	Tyranitar	Slow
0249	Lugia	Lugia	Slow
0250	Ho-Oh	Ho-Oh	Slow
0251	Celebi	Celebi	Medium Slow
