Name	GR
Smeargle	0.5
Tyrogue	0
Hitmontop	0
Smoochum	1
Elekid	0.25
Magby	0.25
Miltank	1
Blissey	1
Raikou	-
Entei	-
Suicune	-
Larvitar	0.5
Pupitar	0.5
Tyranitar	0.5
Lugia	-
Ho-Oh	-
Celebi	-
Treecko	0.125
Grovyle	0.125
Sceptile	0.125
Torchic	0.125
Combusken	0.125
Blaziken	0.125
Mudkip	0.125
Marshtomp	0.125
Swampert	0.125
Poochyena	0.5
Mightyena	0.5
Zigzagoon	0.5
Linoone	0.5
Wurmple	0.5
Silcoon	0.5
Beautifly	0.5
Cascoon	0.5
Dustox	0.5
Lotad	0.5
Lombre	0.5
Ludicolo	0.5
Seedot	0.5
Nuzleaf	0.5
Shiftry	0.5
Taillow	0.5
Swellow	0.5
Wingull	0.5
Pelipper	0.5
Ralts	0.5
Kirlia	0.5
Gardevoir	0.5
Surskit	0.5
Masquerain	0.5
Shroomish	0.5
Breloom	0.5
Slakoth	0.5
Vigoroth	0.5
Slaking	0.5
Nincada	0.5
Ninjask	0.5
Shedinja	-
Whismur	0.5
Loudred	0.5
Exploud	0.5
Makuhita	0.25
Hariyama	0.25
Azurill	0.75
Nosepass	0.5
Skitty	0.75
Delcatty	0.75
Sableye	0.5
Mawile	0.5
Aron	0.5
Lairon	0.5
Aggron	0.5
Meditite	0.5
Medicham	0.5
Electrike	0.5
Manectric	0.5
Plusle	0.5
Minun	0.5
Volbeat	0
Illumise	1
Roselia	0.5
Gulpin	0.5
Swalot	0.5
Carvanha	0.5
Sharpedo	0.5
Wailmer	0.5
Wailord	0.5
Numel	0.5
Camerupt	0.5
Torkoal	0.5
Spoink	0.5
Grumpig	0.5
Spinda	0.5
Trapinch	0.5
Vibrava	0.5
Flygon	0.5
Cacnea	0.5
Cacturne	0.5
Swablu	0.5
Altaria	0.5
Zangoose	0.5
Seviper	0.5
Lunatone	-
Solrock	-
Barboach	0.5
Whiscash	0.5
Corphish	0.5
Crawdaunt	0.5
Baltoy	-
Claydol	-
Lileep	0.125
Cradily	0.125
Anorith	0.125
Armaldo	0.125
Feebas	0.5
Milotic	0.5
Castform	0.5
Kecleon	0.5
Shuppet	0.5
Banette	0.5
Duskull	0.5
Dusclops	0.5
Tropius	0.5
Chimecho	0.5
Absol	0.5
Wynaut	0.5
Snorunt	0.5
Glalie	0.5
Spheal	0.5
Sealeo	0.5
Walrein	0.5
Clamperl	0.5
Huntail	0.5
Gorebyss	0.5
Relicanth	0.125
Luvdisc	0.75
Bagon	0.5
Shelgon	0.5
Salamence	0.5
Beldum	-
Metang	-
Metagross	-
Regirock	-
Regice	-
Registeel	-
Latias	1
Latios	0
Kyogre	-
Groudon	-
Rayquaza	-
Jirachi	-
Deoxys	-
