Dec	Sprite	Name	Base1	Base2
0350	Milotic	Milotic	70	50
0351	Castform	Castform	70	50
0352	Kecleon	Kecleon	70	50
0353	Shuppet	Shuppet	35	35
0354	Banette	Banette	35	35
0355	Duskull	Duskull	35	35
0356	Dusclops	Dusclops	35	35
0357	Tropius	Tropius	70	50
0358	Chimecho	Chimecho	70	50
0359	Absol	Absol	35	35
0360	Wynaut	Wynaut	70	50
0361	Snorunt	Snorunt	70	50
0362	Glalie	Glalie	70	50
0363	Spheal	Spheal	70	50
0364	Sealeo	Sealeo	70	50
0365	Walrein	Walrein	70	50
0366	Clamperl	Clamperl	70	50
0367	Huntail	Huntail	70	50
0368	Gorebyss	Gorebyss	70	50
0369	Relicanth	Relicanth	70	50
0370	Luvdisc	Luvdisc	70	50
0371	Bagon	Bagon	35	35
0372	Shelgon	Shelgon	35	35
0373	Salamence	Salamence	35	35
0374	Beldum	Beldum	35	35
0375	Metang	Metang	35	35
0376	Metagross	Metagross	35	35
0377	Regirock	Regirock	35	35
0378	Regice	Regice	35	35
0379	Registeel	Registeel	35	35
0380	Latias	Latias	90	90
0381	Latios	Latios	90	90
0382	Kyogre	Kyogre	0	0
0383	Groudon	Groudon	0	0
0384	Rayquaza	Rayquaza	0	0
0385	Jirachi	Jirachi	100	100
0386	Deoxys	Deoxys	0	0
