Dec	Sprite	Name	Category
0208	Steelix	Steelix	Medium Fast
0209	Snubbull	Snubbull	Fast
0210	Granbull	Granbull	Fast
0211	Qwilfish	Qwilfish	Medium Fast
0212	Scizor	Scizor	Medium Fast
0213	Shuckle	Shuckle	Medium Slow
0214	Heracross	Heracross	Slow
0215	Sneasel	Sneasel	Medium Slow
0216	Teddiursa	Teddiursa	Medium Fast
0217	Ursaring	Ursaring	Medium Fast
0218	Slugma	Slugma	Medium Fast
0219	Magcargo	Magcargo	Medium Fast
0220	Swinub	Swinub	Slow
0221	Piloswine	Piloswine	Slow
0222	Corsola	Corsola	Fast
0223	Remoraid	Remoraid	Medium Fast
0224	Octillery	Octillery	Medium Fast
0225	Delibird	Delibird	Fast
0226	Mantine	Mantine	Slow
0227	Skarmory	Skarmory	Slow
0228	Houndour	Houndour	Slow
0229	Houndoom	Houndoom	Slow
0230	Kingdra	Kingdra	Medium Fast
0231	Phanpy	Phanpy	Medium Fast
0232	Donphan	Donphan	Medium Fast
0233	Porygon2	Porygon2	Medium Fast
0234	Stantler	Stantler	Slow
0235	Smeargle	Smeargle	Fast
0236	Tyrogue	Tyrogue	Medium Fast
0237	Hitmontop	Hitmontop	Medium Fast
0238	Smoochum	Smoochum	Medium Fast
0239	Elekid	Elekid	Medium Fast
0240	Magby	Magby	Medium Fast
0241	Miltank	Miltank	Slow
0242	Blissey	Blissey	Fast
0243	Raikou	Raikou	Slow
0244	Entei	Entei	Slow
0245	Suicune	Suicune	Slow
0246	Larvitar	Larvitar	Slow
0247	Pupitar	Pupitar	Slow
0248	Tyranitar	Tyranitar	Slow
0249	Lugia	Lugia	Slow
0250	Ho-Oh	Ho-Oh	Slow
0251	Celebi	Celebi	Medium Slow
0252	Treecko	Treecko	Medium Slow
0253	Grovyle	Grovyle	Medium Slow
0254	Sceptile	Sceptile	Medium Slow
0255	Torchic	Torchic	Medium Slow
0256	Combusken	Combusken	Medium Slow
0257	Blaziken	Blaziken	Medium Slow
0258	Mudkip	Mudkip	Medium Slow
0259	Marshtomp	Marshtomp	Medium Slow
0260	Swampert	Swampert	Medium Slow
0261	Poochyena	Poochyena	Medium Fast
0262	Mightyena	Mightyena	Medium Fast
0263	Zigzagoon	Zigzagoon	Medium Fast
0264	Linoone	Linoone	Medium Fast
0265	Wurmple	Wurmple	Medium Fast
0266	Silcoon	Silcoon	Medium Fast
0267	Beautifly	Beautifly	Medium Fast
0268	Cascoon	Cascoon	Medium Fast
0269	Dustox	Dustox	Medium Fast
0270	Lotad	Lotad	Medium Slow
0271	Lombre	Lombre	Medium Slow
0272	Ludicolo	Ludicolo	Medium Slow
0273	Seedot	Seedot	Medium Slow
0274	Nuzleaf	Nuzleaf	Medium Slow
0275	Shiftry	Shiftry	Medium Slow
0276	Taillow	Taillow	Medium Slow
0277	Swellow	Swellow	Medium Slow
0278	Wingull	Wingull	Medium Fast
0279	Pelipper	Pelipper	Medium Fast
0280	Ralts	Ralts	Slow
0281	Kirlia	Kirlia	Slow
0282	Gardevoir	Gardevoir	Slow
0283	Surskit	Surskit	Medium Fast
0284	Masquerain	Masquerain	Medium Fast
0285	Shroomish	Shroomish	Fluctuating
0286	Breloom	Breloom	Fluctuating
0287	Slakoth	Slakoth	Slow
0288	Vigoroth	Vigoroth	Slow
0289	Slaking	Slaking	Slow
0290	Nincada	Nincada	Erratic
0291	Ninjask	Ninjask	Erratic
0292	Shedinja	Shedinja	Erratic
0293	Whismur	Whismur	Medium Slow
0294	Loudred	Loudred	Medium Slow
0295	Exploud	Exploud	Medium Slow
0296	Makuhita	Makuhita	Fluctuating
0297	Hariyama	Hariyama	Fluctuating
0298	Azurill	Azurill	Fast
0299	Nosepass	Nosepass	Medium Fast
0300	Skitty	Skitty	Fast
0301	Delcatty	Delcatty	Fast
0302	Sableye	Sableye	Medium Slow
0303	Mawile	Mawile	Fast
0304	Aron	Aron	Slow
0305	Lairon	Lairon	Slow
0306	Aggron	Aggron	Slow
0307	Meditite	Meditite	Medium Fast
0308	Medicham	Medicham	Medium Fast
0309	Electrike	Electrike	Slow
0310	Manectric	Manectric	Slow
0311	Plusle	Plusle	Medium Fast
0312	Minun	Minun	Medium Fast
0313	Volbeat	Volbeat	Erratic
0314	Illumise	Illumise	Fluctuating
0315	Roselia	Roselia	Medium Slow
0316	Gulpin	Gulpin	Fluctuating
0317	Swalot	Swalot	Fluctuating
0318	Carvanha	Carvanha	Slow
0319	Sharpedo	Sharpedo	Slow
0320	Wailmer	Wailmer	Fluctuating
0321	Wailord	Wailord	Fluctuating
0322	Numel	Numel	Medium Fast
0323	Camerupt	Camerupt	Medium Fast
0324	Torkoal	Torkoal	Medium Fast
0325	Spoink	Spoink	Fast
0326	Grumpig	Grumpig	Fast
0327	Spinda	Spinda	Fast
0328	Trapinch	Trapinch	Medium Slow
0329	Vibrava	Vibrava	Medium Slow
0330	Flygon	Flygon	Medium Slow
0331	Cacnea	Cacnea	Medium Slow
0332	Cacturne	Cacturne	Medium Slow
0333	Swablu	Swablu	Erratic
0334	Altaria	Altaria	Erratic
0335	Zangoose	Zangoose	Erratic
0336	Seviper	Seviper	Fluctuating
0337	Lunatone	Lunatone	Fast
0338	Solrock	Solrock	Fast
0339	Barboach	Barboach	Medium Fast
0340	Whiscash	Whiscash	Medium Fast
0341	Corphish	Corphish	Fluctuating
0342	Crawdaunt	Crawdaunt	Fluctuating
0343	Baltoy	Baltoy	Medium Fast
0344	Claydol	Claydol	Medium Fast
0345	Lileep	Lileep	Erratic
0346	Cradily	Cradily	Erratic
0347	Anorith	Anorith	Erratic
0348	Armaldo	Armaldo	Erratic
0349	Feebas	Feebas	Erratic
0350	Milotic	Milotic	Erratic
0351	Castform	Castform	Medium Fast
0352	Kecleon	Kecleon	Medium Slow
0353	Shuppet	Shuppet	Fast
0354	Banette	Banette	Fast
0355	Duskull	Duskull	Fast
0356	Dusclops	Dusclops	Fast
0357	Tropius	Tropius	Slow
0358	Chimecho	Chimecho	Fast
0359	Absol	Absol	Medium Slow
0360	Wynaut	Wynaut	Medium Fast
0361	Snorunt	Snorunt	Medium Fast
0362	Glalie	Glalie	Medium Fast
0363	Spheal	Spheal	Medium Slow
0364	Sealeo	Sealeo	Medium Slow
0365	Walrein	Walrein	Medium Slow
0366	Clamperl	Clamperl	Erratic
0367	Huntail	Huntail	Erratic
0368	Gorebyss	Gorebyss	Erratic
0369	Relicanth	Relicanth	Slow
0370	Luvdisc	Luvdisc	Fast
0371	Bagon	Bagon	Slow
0372	Shelgon	Shelgon	Slow
0373	Salamence	Salamence	Slow
0374	Beldum	Beldum	Slow
0375	Metang	Metang	Slow
0376	Metagross	Metagross	Slow
0377	Regirock	Regirock	Slow
0378	Regice	Regice	Slow
0379	Registeel	Registeel	Slow
0380	Latias	Latias	Slow
0381	Latios	Latios	Slow
0382	Kyogre	Kyogre	Slow
0383	Groudon	Groudon	Slow
0384	Rayquaza	Rayquaza	Slow
0385	Jirachi	Jirachi	Slow
0386	Deoxys	Deoxys	Slow
