Dex	Sprite	Name	HP	Att	Def	Spec_Att	Spec_Def	Speed	Total	Avg
0145	Zapdos	Zapdos	90	90	85	125	90	100	580	96.67
0146	Moltres	Moltres	90	100	90	125	85	90	580	96.67
0147	Dratini	Dratini	41	64	45	50	50	50	300	50
0148	Dragonair	Dragonair	61	84	65	70	70	70	420	70
0149	Dragonite	Dragonite	91	134	95	100	100	80	600	100
0150	Mewtwo	Mewtwo	106	110	90	154	90	130	680	113.33
0151	Mew	Mew	100	100	100	100	100	100	600	100
0152	Chikorita	Chikorita	45	49	65	49	65	45	318	53
0153	Bayleef	Bayleef	60	62	80	63	80	60	405	67.5
0154	Meganium	Meganium	80	82	100	83	100	80	525	87.5
0155	Cyndaquil	Cyndaquil	39	52	43	60	50	65	309	51.5
0156	Quilava	Quilava	58	64	58	80	65	80	405	67.5
0157	Typhlosion	Typhlosion	78	84	78	109	85	100	534	89
0158	Totodile	Totodile	50	65	64	44	48	43	314	52.33
0159	Croconaw	Croconaw	65	80	80	59	63	58	405	67.5
0160	Feraligatr	Feraligatr	85	105	100	79	83	78	530	88.33
0161	Sentret	Sentret	35	46	34	35	45	20	215	35.83
0162	Furret	Furret	85	76	64	45	55	90	415	69.17
0163	Hoothoot	Hoothoot	60	30	30	36	56	50	262	43.67
0164	Noctowl	Noctowl	100	50	50	76	96	70	442	73.67
0165	Ledyba	Ledyba	40	20	30	40	80	55	265	44.17
0166	Ledian	Ledian	55	35	50	55	110	85	390	65
0167	Spinarak	Spinarak	40	60	40	40	40	30	250	41.67
0168	Ariados	Ariados	70	90	70	60	60	40	390	65
0169	Crobat	Crobat	85	90	80	70	80	130	535	89.17
0170	Chinchou	Chinchou	75	38	38	56	56	67	330	55
0171	Lanturn	Lanturn	125	58	58	76	76	67	460	76.67
0172	Pichu	Pichu	20	40	15	35	35	60	205	34.17
0173	Cleffa	Cleffa	50	25	28	45	55	15	218	36.33
0174	Igglybuff	Igglybuff	90	30	15	40	20	15	210	35
0175	Togepi	Togepi	35	20	65	40	65	20	245	40.83
0176	Togetic	Togetic	55	40	85	80	105	40	405	67.5
0177	Natu	Natu	40	50	45	70	45	70	320	53.33
0178	Xatu	Xatu	65	75	70	95	70	95	470	78.33
0179	Mareep	Mareep	55	40	40	65	45	35	280	46.67
0180	Flaaffy	Flaaffy	70	55	55	80	60	45	365	60.83
0181	Ampharos	Ampharos	90	75	75	115	90	55	500	83.33
0182	Bellossom	Bellossom	75	80	85	90	100	50	480	80
0183	Marill	Marill	70	20	50	20	50	40	250	41.67
0184	Azumarill	Azumarill	100	50	80	50	80	50	410	68.33
0185	Sudowoodo	Sudowoodo	70	100	115	30	65	30	410	68.33
0186	Politoed	Politoed	90	75	75	90	100	70	500	83.33
0187	Hoppip	Hoppip	35	35	40	35	55	50	250	41.67
0188	Skiploom	Skiploom	55	45	50	45	65	80	340	56.67
0189	Jumpluff	Jumpluff	75	55	70	55	85	110	450	75
0190	Aipom	Aipom	55	70	55	40	55	85	360	60
0191	Sunkern	Sunkern	30	30	30	30	30	30	180	30
0192	Sunflora	Sunflora	75	75	55	105	85	30	425	70.83
0193	Yanma	Yanma	65	65	45	75	45	95	390	65
0194	Wooper	Wooper	55	45	45	25	25	15	210	35
0195	Quagsire	Quagsire	95	85	85	65	65	35	430	71.67
0196	Espeon	Espeon	65	65	60	130	95	110	525	87.5
0197	Umbreon	Umbreon	95	65	110	60	130	65	525	87.5
0198	Murkrow	Murkrow	60	85	42	85	42	91	405	67.5
0199	Slowking	Slowking	95	75	80	100	110	30	490	81.67
0200	Misdreavus	Misdreavus	60	60	60	85	85	85	435	72.5
0201	Unown	Unown	48	72	48	72	48	48	336	56
0202	Wobbuffet	Wobbuffet	190	33	58	33	58	33	405	67.5
0203	Girafarig	Girafarig	70	80	65	90	65	85	455	75.83
0204	Pineco	Pineco	50	65	90	35	35	15	290	48.33
0205	Forretress	Forretress	75	90	140	60	60	40	465	77.5
0206	Dunsparce	Dunsparce	100	70	70	65	65	45	415	69.17
0207	Gligar	Gligar	65	75	105	35	65	85	430	71.67
0208	Steelix	Steelix	75	85	200	55	65	30	510	85
0209	Snubbull	Snubbull	60	80	50	40	40	30	300	50
0210	Granbull	Granbull	90	120	75	60	60	45	450	75
0211	Qwilfish	Qwilfish	65	95	75	55	55	85	430	71.67
0212	Scizor	Scizor	70	130	100	55	80	65	500	83.33
0213	Shuckle	Shuckle	20	10	230	10	230	5	505	84.17
0214	Heracross	Heracross	80	125	75	40	95	85	500	83.33
0215	Sneasel	Sneasel	55	95	55	35	75	115	430	71.67
0216	Teddiursa	Teddiursa	60	80	50	50	50	40	330	55
0217	Ursaring	Ursaring	90	130	75	75	75	55	500	83.33
0218	Slugma	Slugma	40	40	40	70	40	20	250	41.67
0219	Magcargo	Magcargo	50	50	120	80	80	30	410	68.33
0220	Swinub	Swinub	50	50	40	30	30	50	250	41.67
0221	Piloswine	Piloswine	100	100	80	60	60	50	450	75
0222	Corsola	Corsola	55	55	85	65	85	35	380	63.33
0223	Remoraid	Remoraid	35	65	35	65	35	65	300	50
0224	Octillery	Octillery	75	105	75	105	75	45	480	80
0225	Delibird	Delibird	45	55	45	65	45	75	330	55
0226	Mantine	Mantine	65	40	70	80	140	70	465	77.5
0227	Skarmory	Skarmory	65	80	140	40	70	70	465	77.5
0228	Houndour	Houndour	45	60	30	80	50	65	330	55
0229	Houndoom	Houndoom	75	90	50	110	80	95	500	83.33
0230	Kingdra	Kingdra	75	95	95	95	95	85	540	90
0231	Phanpy	Phanpy	90	60	60	40	40	40	330	55
0232	Donphan	Donphan	90	120	120	60	60	50	500	83.33
0233	Porygon2	Porygon2	85	80	90	105	95	60	515	85.83
0234	Stantler	Stantler	73	95	62	85	65	85	465	77.5
0235	Smeargle	Smeargle	55	20	35	20	45	75	250	41.67
0236	Tyrogue	Tyrogue	35	35	35	35	35	35	210	35
0237	Hitmontop	Hitmontop	50	95	95	35	110	70	455	75.83
0238	Smoochum	Smoochum	45	30	15	85	65	65	305	50.83
0239	Elekid	Elekid	45	63	37	65	55	95	360	60
0240	Magby	Magby	45	75	37	70	55	83	365	60.83
0241	Miltank	Miltank	95	80	105	40	70	100	490	81.67
0242	Blissey	Blissey	255	10	10	75	135	55	540	90
0243	Raikou	Raikou	90	85	75	115	100	115	580	96.67
0244	Entei	Entei	115	115	85	90	75	100	580	96.67
0245	Suicune	Suicune	100	75	115	90	115	85	580	96.67
0246	Larvitar	Larvitar	50	64	50	45	50	41	300	50
0247	Pupitar	Pupitar	70	84	70	65	70	51	410	68.33
0248	Tyranitar	Tyranitar	100	134	110	95	100	61	600	100
0249	Lugia	Lugia	106	90	130	90	154	110	680	113.33
0250	Ho-Oh	Ho-Oh	106	130	90	110	154	90	680	113.33
0251	Celebi	Celebi	100	100	100	100	100	100	600	100
0252	Treecko	Treecko	40	45	35	65	55	70	310	51.67
0253	Grovyle	Grovyle	50	65	45	85	65	95	405	67.5
0254	Sceptile	Sceptile	70	85	65	105	85	120	530	88.33
0255	Torchic	Torchic	45	60	40	70	50	45	310	51.67
0256	Combusken	Combusken	60	85	60	85	60	55	405	67.5
0257	Blaziken	Blaziken	80	120	70	110	70	80	530	88.33
0258	Mudkip	Mudkip	50	70	50	50	50	40	310	51.67
0259	Marshtomp	Marshtomp	70	85	70	60	70	50	405	67.5
0260	Swampert	Swampert	100	110	90	85	90	60	535	89.17
0261	Poochyena	Poochyena	35	55	35	30	30	35	220	36.67
0262	Mightyena	Mightyena	70	90	70	60	60	70	420	70
0263	Zigzagoon	Zigzagoon	38	30	41	30	41	60	240	40
0264	Linoone	Linoone	78	70	61	50	61	100	420	70
0265	Wurmple	Wurmple	45	45	35	20	30	20	195	32.5
0266	Silcoon	Silcoon	50	35	55	25	25	15	205	34.17
0267	Beautifly	Beautifly	60	70	50	90	50	65	385	64.17
0268	Cascoon	Cascoon	50	35	55	25	25	15	205	34.17
0269	Dustox	Dustox	60	50	70	50	90	65	385	64.17
0270	Lotad	Lotad	40	30	30	40	50	30	220	36.67
0271	Lombre	Lombre	60	50	50	60	70	50	340	56.67
0272	Ludicolo	Ludicolo	80	70	70	90	100	70	480	80
0273	Seedot	Seedot	40	40	50	30	30	30	220	36.67
0274	Nuzleaf	Nuzleaf	70	70	40	60	40	60	340	56.67
0275	Shiftry	Shiftry	90	100	60	90	60	80	480	80
0276	Taillow	Taillow	40	55	30	30	30	85	270	45
0277	Swellow	Swellow	60	85	60	50	50	125	430	71.67
0278	Wingull	Wingull	40	30	30	55	30	85	270	45
0279	Pelipper	Pelipper	60	50	100	85	70	65	430	71.67
0280	Ralts	Ralts	28	25	25	45	35	40	198	33
0281	Kirlia	Kirlia	38	35	35	65	55	50	278	46.33
0282	Gardevoir	Gardevoir	68	65	65	125	115	80	518	86.33
0283	Surskit	Surskit	40	30	32	50	52	65	269	44.83
0284	Masquerain	Masquerain	70	60	62	80	82	60	414	69
0285	Shroomish	Shroomish	60	40	60	40	60	35	295	49.17
0286	Breloom	Breloom	60	130	80	60	60	70	460	76.67
0287	Slakoth	Slakoth	60	60	60	35	35	30	280	46.67
0288	Vigoroth	Vigoroth	80	80	80	55	55	90	440	73.33
0289	Slaking	Slaking	150	160	100	95	65	100	670	111.67
0290	Nincada	Nincada	31	45	90	30	30	40	266	44.33
0291	Ninjask	Ninjask	61	90	45	50	50	160	456	76
0292	Shedinja	Shedinja	1	90	45	30	30	40	236	39.33
0293	Whismur	Whismur	64	51	23	51	23	28	240	40
0294	Loudred	Loudred	84	71	43	71	43	48	360	60
0295	Exploud	Exploud	104	91	63	91	63	68	480	80
0296	Makuhita	Makuhita	72	60	30	20	30	25	237	39.5
0297	Hariyama	Hariyama	144	120	60	40	60	50	474	79
0298	Azurill	Azurill	50	20	40	20	40	20	190	31.67
0299	Nosepass	Nosepass	30	45	135	45	90	30	375	62.5
0300	Skitty	Skitty	50	45	45	35	35	50	260	43.33
0301	Delcatty	Delcatty	70	65	65	55	55	70	380	63.33
0302	Sableye	Sableye	50	75	75	65	65	50	380	63.33
0303	Mawile	Mawile	50	85	85	55	55	50	380	63.33
0304	Aron	Aron	50	70	100	40	40	30	330	55
0305	Lairon	Lairon	60	90	140	50	50	40	430	71.67
0306	Aggron	Aggron	70	110	180	60	60	50	530	88.33
0307	Meditite	Meditite	30	40	55	40	55	60	280	46.67
0308	Medicham	Medicham	60	60	75	60	75	80	410	68.33
0309	Electrike	Electrike	40	45	40	65	40	65	295	49.17
0310	Manectric	Manectric	70	75	60	105	60	105	475	79.17
0311	Plusle	Plusle	60	50	40	85	75	95	405	67.5
0312	Minun	Minun	60	40	50	75	85	95	405	67.5
0313	Volbeat	Volbeat	65	73	55	47	75	85	400	66.67
0314	Illumise	Illumise	65	47	55	73	75	85	400	66.67
0315	Roselia	Roselia	50	60	45	100	80	65	400	66.67
0316	Gulpin	Gulpin	70	43	53	43	53	40	302	50.33
0317	Swalot	Swalot	100	73	83	73	83	55	467	77.83
0318	Carvanha	Carvanha	45	90	20	65	20	65	305	50.83
0319	Sharpedo	Sharpedo	70	120	40	95	40	95	460	76.67
0320	Wailmer	Wailmer	130	70	35	70	35	60	400	66.67
0321	Wailord	Wailord	170	90	45	90	45	60	500	83.33
0322	Numel	Numel	60	60	40	65	45	35	305	50.83
0323	Camerupt	Camerupt	70	100	70	105	75	40	460	76.67
0324	Torkoal	Torkoal	70	85	140	85	70	20	470	78.33
0325	Spoink	Spoink	60	25	35	70	80	60	330	55
0326	Grumpig	Grumpig	80	45	65	90	110	80	470	78.33
0327	Spinda	Spinda	60	60	60	60	60	60	360	60
0328	Trapinch	Trapinch	45	100	45	45	45	10	290	48.33
0329	Vibrava	Vibrava	50	70	50	50	50	70	340	56.67
0330	Flygon	Flygon	80	100	80	80	80	100	520	86.67
0331	Cacnea	Cacnea	50	85	40	85	40	35	335	55.83
0332	Cacturne	Cacturne	70	115	60	115	60	55	475	79.17
0333	Swablu	Swablu	45	40	60	40	75	50	310	51.67
0334	Altaria	Altaria	75	70	90	70	105	80	490	81.67
0335	Zangoose	Zangoose	73	115	60	60	60	90	458	76.33
0336	Seviper	Seviper	73	100	60	100	60	65	458	76.33
0337	Lunatone	Lunatone	70	55	65	95	85	70	440	73.33
0338	Solrock	Solrock	70	95	85	55	65	70	440	73.33
0339	Barboach	Barboach	50	48	43	46	41	60	288	48
0340	Whiscash	Whiscash	110	78	73	76	71	60	468	78
0341	Corphish	Corphish	43	80	65	50	35	35	308	51.33
0342	Crawdaunt	Crawdaunt	63	120	85	90	55	55	468	78
0343	Baltoy	Baltoy	40	40	55	40	70	55	300	50
0344	Claydol	Claydol	60	70	105	70	120	75	500	83.33
0345	Lileep	Lileep	66	41	77	61	87	23	355	59.17
0346	Cradily	Cradily	86	81	97	81	107	43	495	82.5
0347	Anorith	Anorith	45	95	50	40	50	75	355	59.17
0348	Armaldo	Armaldo	75	125	100	70	80	45	495	82.5
0349	Feebas	Feebas	20	15	20	10	55	80	200	33.33
0350	Milotic	Milotic	95	60	79	100	125	81	540	90
0351	Castform	Castform	70	70	70	70	70	70	420	70
0352	Kecleon	Kecleon	60	90	70	60	120	40	440	73.33
0353	Shuppet	Shuppet	44	75	35	63	33	45	295	49.17
0354	Banette	Banette	64	115	65	83	63	65	455	75.83
0355	Duskull	Duskull	20	40	90	30	90	25	295	49.17
0356	Dusclops	Dusclops	40	70	130	60	130	25	455	75.83
0357	Tropius	Tropius	99	68	83	72	87	51	460	76.67
0358	Chimecho	Chimecho	65	50	70	95	80	65	425	70.83
0359	Absol	Absol	65	130	60	75	60	75	465	77.5
0360	Wynaut	Wynaut	95	23	48	23	48	23	260	43.33
0361	Snorunt	Snorunt	50	50	50	50	50	50	300	50
0362	Glalie	Glalie	80	80	80	80	80	80	480	80
0363	Spheal	Spheal	70	40	50	55	50	25	290	48.33
0364	Sealeo	Sealeo	90	60	70	75	70	45	410	68.33
0365	Walrein	Walrein	110	80	90	95	90	65	530	88.33
0366	Clamperl	Clamperl	35	64	85	74	55	32	345	57.5
0367	Huntail	Huntail	55	104	105	94	75	52	485	80.83
0368	Gorebyss	Gorebyss	55	84	105	114	75	52	485	80.83
0369	Relicanth	Relicanth	100	90	130	45	65	55	485	80.83
0370	Luvdisc	Luvdisc	43	30	55	40	65	97	330	55
0371	Bagon	Bagon	45	75	60	40	30	50	300	50
0372	Shelgon	Shelgon	65	95	100	60	50	50	420	70
0373	Salamence	Salamence	95	135	80	110	80	100	600	100
0374	Beldum	Beldum	40	55	80	35	60	30	300	50
0375	Metang	Metang	60	75	100	55	80	50	420	70
0376	Metagross	Metagross	80	135	130	95	90	70	600	100
0377	Regirock	Regirock	80	100	200	50	100	50	580	96.67
0378	Regice	Regice	80	50	100	100	200	50	580	96.67
0379	Registeel	Registeel	80	75	150	75	150	50	580	96.67
0380	Latias	Latias	80	80	90	110	130	110	600	100
0381	Latios	Latios	80	90	80	130	110	110	600	100
0382	Kyogre	Kyogre	100	100	90	150	140	90	670	111.67
0383	Groudon	Groudon	100	150	140	100	90	90	670	111.67
0384	Rayquaza	Rayquaza	105	150	90	150	90	95	680	113.33
0385	Jirachi	Jirachi	100	100	100	100	100	100	600	100
0386	Deoxys	Deoxys (Normal Forme)	50	150	50	150	50	150	600	100
0386	Deoxys	Deoxys (Attack Forme)	50	180	20	180	20	150	600	100
0386	Deoxys	Deoxys (Defense Forme)	50	70	160	70	160	90	600	100
0386	Deoxys	Deoxys (Speed Forme)	50	95	90	95	90	180	600	100
